"date","home.team","home.score","away.team","away.score"
"03/12/17","Getafe",11,"Valencia",13
"03/12/17","Las Palmas",21,"Betis",8
"03/12/17","Leganes",12,"Villarreal",12
"04/12/17","Girona",11,"Alaves",9
"08/12/17","Alaves",22,"Las Palmas",6
"09/12/17","Getafe",6,"Eibar",7
"09/12/17","La Coruna",15,"Leganes",3
"09/12/17","Real Madrid",20,"Sevilla",11
"09/12/17","Valencia",13,"Celta",13
"10/12/17","Betis",9,"Ath Madrid",4
"10/12/17","Levante",12,"Ath Bilbao",14
"10/12/17","Sociedad",18,"Malaga",9
"10/12/17","Villarreal",9,"Barcelona",16
"11/12/17","Espanol",8,"Girona",12
"15/12/17","Sevilla",16,"Levante",10
"16/12/17","Ath Bilbao",7,"Sociedad",10
"16/12/17","Ath Madrid",10,"Alaves",11
"16/12/17","Eibar",15,"Valencia",7
"17/12/17","Barcelona",23,"La Coruna",10
"17/12/17","Celta",10,"Villarreal",8
"17/12/17","Girona",9,"Getafe",7
"17/12/17","Las Palmas",14,"Espanol",8
"18/12/17","Malaga",18,"Betis",10
"19/12/17","Levante",10,"Leganes",10
"20/12/17","Getafe",13,"Las Palmas",17
"20/12/17","Sociedad",14,"Sevilla",9
"21/12/17","Alaves",10,"Malaga",10
"21/12/17","Eibar",16,"Girona",6
"22/12/17","Betis",16,"Ath Bilbao",19
"22/12/17","Espanol",7,"Ath Madrid",9
"23/12/17","La Coruna",15,"Celta",7
"23/12/17","Real Madrid",14,"Barcelona",18
"23/12/17","Valencia",22,"Villarreal",9
"06/01/18","Ath Madrid",9,"Getafe",10
"06/01/18","Las Palmas",4,"Eibar",14
"06/01/18","Sevilla",14,"Betis",9
"06/01/18","Valencia",17,"Girona",11
"07/01/18","Ath Bilbao",14,"Alaves",8
"07/01/18","Barcelona",16,"Levante",9
"07/01/18","Celta",10,"Real Madrid",19
"07/01/18","Leganes",8,"Sociedad",9
"07/01/18","Villarreal",11,"La Coruna",13
"08/01/18","Malaga",17,"Espanol",6
"12/01/18","Getafe",7,"Malaga",9
"13/01/18","Eibar",11,"Ath Madrid",7
"13/01/18","Girona",15,"Las Palmas",3
"13/01/18","La Coruna",12,"Valencia",12
"13/01/18","Real Madrid",28,"Villarreal",10
"14/01/18","Alaves",12,"Sevilla",14
"14/01/18","Espanol",11,"Ath Bilbao",8
"14/01/18","Levante",15,"Celta",3
"14/01/18","Sociedad",15,"Barcelona",11
"15/01/18","Betis",16,"Leganes",10
"19/01/18","Getafe",17,"Ath Bilbao",7
"20/01/18","Ath Madrid",9,"Girona",6
"20/01/18","Espanol",9,"Sevilla",12
"20/01/18","Las Palmas",20,"Valencia",14
"20/01/18","Villarreal",18,"Levante",16
"21/01/18","Alaves",14,"Leganes",8
"21/01/18","Betis",7,"Barcelona",14
"21/01/18","Real Madrid",24,"La Coruna",5
"21/01/18","Sociedad",16,"Celta",10
"22/01/18","Eibar",15,"Malaga",10
"26/01/18","Ath Bilbao",7,"Eibar",14
"27/01/18","La Coruna",8,"Levante",15
"27/01/18","Malaga",7,"Girona",11
"27/01/18","Valencia",11,"Real Madrid",13
"27/01/18","Villarreal",11,"Sociedad",24
"28/01/18","Ath Madrid",18,"Las Palmas",9
"28/01/18","Barcelona",18,"Alaves",7
"28/01/18","Leganes",11,"Espanol",12
"28/01/18","Sevilla",15,"Getafe",7
"29/01/18","Celta",13,"Betis",7
"02/02/18","Sociedad",19,"La Coruna",4
"03/02/18","Alaves",9,"Celta",16
"03/02/18","Betis",13,"Villarreal",12
"03/02/18","Eibar",17,"Sevilla",11
"03/02/18","Levante",12,"Real Madrid",23
"04/02/18","Ath Madrid",14,"Valencia",9
"04/02/18","Espanol",7,"Barcelona",12
"04/02/18","Getafe",11,"Leganes",2
"04/02/18","Girona",8,"Ath Bilbao",9
"05/02/18","Las Palmas",11,"Malaga",9
"09/02/18","Ath Bilbao",11,"Las Palmas",8
"10/02/18","Leganes",2,"Eibar",19
"10/02/18","Malaga",13,"Ath Madrid",5
"10/02/18","Real Madrid",18,"Sociedad",8
"10/02/18","Villarreal",27,"Alaves",5
"11/02/18","Barcelona",12,"Getafe",10
